from_to,gdp_diff_2018,gdp_mean_2018,neighbors,share_lang,PDI_diff,MAS_diff,fb_users_diff,fb_users_perc_mean,fb_users_mean,share_cont
CN-IT,27538.883782199096,29266.801885937148,0,0,30.0,4.0,28670000.0,24.936900377788124,15665000.0,0
CN-NL,42329.2685028299,36661.99424625255,0,1,42.0,52.0,8470000.0,28.51533549668469,5565000.0,0
CN-NO,54310.9694158463,42652.84470276075,0,0,49.0,58.0,2070000.0,30.89123567761902,2365000.0,0
CN-SE,38024.2706479912,34509.4953188332,0,1,49.0,61.0,4970000.0,30.8709318914875,3815000.0,0
CO-AT,41916.0360893606,36002.0733812126,0,0,56.0,15.0,25300000.0,48.55267872122308,16350000.0,0
CO-BE,37484.0632023491,33786.086937706845,0,0,2.0,10.0,22500000.0,56.00166039620895,17750000.0,0
CO-CH,56616.15150335789,43352.131088211245,0,0,33.0,6.0,25300000.0,49.234260782169656,16350000.0,0
CO-DK,42438.9070633744,36263.5088682195,0,0,49.0,48.0,25300000.0,59.85386323890849,16350000.0,0
CO-ES,25652.332345016403,27870.2215090405,0,1,10.0,22.0,6000000.0,52.76354255553554,26000000.0,0
CO-FI,34536.5498587514,32312.330265908,0,0,34.0,38.0,26300000.0,52.4509697164184,15850000.0,0
CO-IT,27992.188440504397,29040.149556784498,0,0,17.0,6.0,1000000.0,53.03935438682726,29500000.0,0
CO-NL,42782.5731611352,36435.3419170999,0,0,29.0,50.0,19200000.0,56.61778950572383,19400000.0,0
CO-NO,54764.2740741516,42426.1923736081,0,0,36.0,56.0,25600000.0,58.99368968665816,16200000.0,0
CO-SE,38477.5753062965,34282.84298968055,0,0,36.0,59.0,22700000.0,58.97338590052664,17650000.0,0
CR-AT,35641.0474328101,39139.56770948785,0,0,24.0,58.0,500000.0,51.278314746560696,3450000.0,0
CR-BE,31209.074545798598,36923.581265982095,0,0,30.0,33.0,3300000.0,58.72729642154656,4850000.0,0
CR-CH,50341.16284680739,46489.625416486495,0,0,1.0,49.0,500000.0,51.95989680750726,3450000.0,0
CR-DK,36163.9184068239,39401.00319649475,0,0,17.0,5.0,500000.0,62.579499264246095,3450000.0,0
CR-FI,28261.5612022009,35449.82459418325,0,0,2.0,5.0,500000.0,55.17660574175601,2950000.0,0
CR-IT,21717.199783953896,32177.643885059748,0,0,15.0,49.0,26800000.0,55.76499041216488,16600000.0,0
CR-NL,36507.5845045847,39572.83624537515,0,0,3.0,7.0,6600000.0,59.34342553106144,6500000.0,0
CR-NO,48489.2854176011,45563.68670188335,0,0,4.0,13.0,200000.0,61.719325711995765,3300000.0,0
CR-SE,32202.586649746,37420.3373179558,0,0,4.0,16.0,3100000.0,61.69902192586425,4750000.0,0
CZ-AT,15824.598442327297,49047.79220472925,1,1,46.0,22.0,900000.0,41.825998800653736,4150000.0,1
CZ-BE,11392.625555315797,46831.8057612235,0,1,8.0,3.0,1900000.0,49.27498047563961,5550000.0,1
CZ-CH,30524.71385632459,56397.8499117279,0,1,23.0,13.0,900000.0,42.50758086160032,4150000.0,1
CZ-DK,16347.469416341097,49309.227691736145,0,1,39.0,41.0,900000.0,53.12718331833914,4150000.0,1
CZ-FI,8445.1122117181,45358.04908942465,0,0,24.0,31.0,1900000.0,45.72428979584906,3650000.0,1
CZ-FR,5441.108865372611,43856.04741625191,0,0,11.0,14.0,28400000.0,46.580061111229284,18800000.0,1
CZ-IT,1900.7507934710957,42085.86838030115,0,1,7.0,13.0,25400000.0,46.31267446625792,17300000.0,1
CZ-NL,16691.1355141019,49481.06074061655,0,0,19.0,43.0,5200000.0,49.89110958515448,7200000.0,1
CZ-NO,28672.8364271183,55471.91119712475,0,1,26.0,49.0,1200000.0,52.26700976608882,4000000.0,1
CZ-SE,12386.1376592632,47328.5618131972,0,1,26.0,52.0,1700000.0,52.2467059799573,5450000.0,1
DE-AT,1724.7251210598988,56097.72886536295,1,1,24.0,13.0,27300000.0,38.882301286988024,17350000.0,1
DE-BE,2707.2477659516007,53881.7424218572,1,1,30.0,12.0,24500000.0,46.33128296197389,18750000.0,1
DE-CH,16424.840535057192,63447.7865723616,1,1,1.0,4.0,27300000.0,39.56388334793459,17350000.0,1
DE-DK,2247.596095073699,56359.164352369844,1,1,17.0,50.0,27300000.0,50.183485804673424,17350000.0,1
DE-ES,14538.978623284296,47965.87699319085,0,0,22.0,24.0,8000000.0,43.09316512130047,27000000.0,1
DE-FI,5654.7611095492975,52407.985750058346,0,0,2.0,40.0,28300000.0,42.78059228218334,16850000.0,1
DE-FR,8658.764455894787,50905.98407688561,1,0,33.0,23.0,2000000.0,43.63636359756357,32000000.0,1
DE-IT,12199.122527796302,49135.80504093485,0,1,15.0,4.0,1000000.0,43.368976952592206,30500000.0,1
DE-NL,2591.2621928345034,56530.99740125025,1,0,3.0,52.0,21200000.0,46.94741207148877,20400000.0,1
DE-NO,14572.963105850904,62521.84785775845,0,1,4.0,58.0,27600000.0,49.323312252423094,17200000.0,1
DE-SE,1713.7356620041974,54378.4984738309,0,1,4.0,61.0,24700000.0,49.30300846629158,18650000.0,1
DK-AE,11093.153122779811,63029.5389612966,0,0,62.0,36.0,5037000.0,75.03611928184829,6218500.0,0
DK-AR,34189.5637661428,40388.1805168353,0,0,31.0,40.0,26300000.0,64.30694130170752,16850000.0,0
DK-AT,522.8709740138002,57221.5269128998,0,1,7.0,63.0,0.0,52.10981300585807,3700000.0,1
DK-AU,7313.77510625439,53826.074846779506,0,0,18.0,45.0,11300000.0,60.47553152738666,9350000.0,0
DK-BE,4954.8438610253,55005.54046939405,0,1,47.0,38.0,2800000.0,59.55879468084394,5100000.0,1
DK-BR,42462.524176018596,36251.700311897395,0,1,51.0,33.0,135300000.0,63.97800419426759,71350000.0,0
DK-CH,14177.244439983493,64571.58461989844,0,1,16.0,54.0,0.0,52.79139506680464,3700000.0,1
DK-CL,31768.822974908897,41598.55091245225,0,0,45.0,12.0,9300000.0,65.47139048390753,8350000.0,0
DK-CN,41985.6024050691,36490.161197372145,0,0,62.0,50.0,2370000.0,31.751409229869346,2515000.0,0
DK-CO,42438.9070633744,36263.5088682195,0,0,49.0,48.0,25300000.0,59.85386323890849,16350000.0,0
DK-CR,36163.9184068239,39401.00319649475,0,0,17.0,5.0,500000.0,62.579499264246095,3450000.0,0
DK-CZ,16347.469416341097,49309.227691736145,0,1,39.0,41.0,900000.0,53.12718331833914,4150000.0,1
DK-DE,2247.596095073699,56359.164352369844,1,1,17.0,50.0,27300000.0,50.183485804673424,17350000.0,1
DK-EC,45643.6191643481,34661.15281773265,0,0,60.0,47.0,6300000.0,59.30943157137014,6850000.0,0
DK-EG,45843.7233100203,34561.10074489655,0,0,62.0,36.0,38700000.0,51.67597787202887,23050000.0,0
DK-ES,16786.574718357995,49089.6750407277,0,0,39.0,26.0,19300000.0,56.32067684017052,13350000.0,1
DK-ET,55328.94152304791,29818.49163838274,0,0,46.0,25.0,2307000.0,34.19157849488059,4853500.0,0
DK-FI,7902.3572046229965,53531.7837975952,0,0,15.0,10.0,1000000.0,56.00810400105339,3200000.0,1
DK-FR,10906.360550968486,52029.782124422454,0,0,50.0,27.0,29300000.0,56.86387531643362,18350000.0,1
DK-GB,9909.474384389003,52528.225207712196,0,0,17.0,50.0,40300000.0,63.82326843318666,23850000.0,1
DK-GH,52040.0902527558,31462.917273528798,0,0,59.0,30.0,1200000.0,39.268289215369386,4300000.0,0
DK-GR,27865.414059933497,43550.25536993995,0,0,42.0,41.0,1300000.0,55.93820172495634,4350000.0,1
DK-GT,48817.61513893369,33074.15483043985,0,0,77.0,21.0,3100000.0,50.00076815934456,5250000.0,0
DK-HU,25569.887744659096,44698.01852757715,0,1,28.0,72.0,1600000.0,59.29167981310504,4500000.0,1
DK-ID,45838.2038608714,34563.860469471,0,0,60.0,30.0,133260000.0,56.23847436075762,70330000.0,0
DK-IE,27072.67240183361,71019.2986008235,0,0,10.0,52.0,1000000.0,58.596863028407384,3200000.0,1
DK-IL,17576.837715567897,48694.543542122745,0,0,5.0,31.0,2177000.0,64.63764676939078,4788500.0,0
DK-IN,50807.601105798865,32079.161847007264,0,0,59.0,40.0,247300000.0,40.627521009618356,127350000.0,0
DK-IQ,46673.489989765396,34146.217405024,0,0,62.0,36.0,17576000.0,56.93497541377417,12488000.0,0
DK-IR,43687.6449325883,35639.13993361255,0,0,40.0,27.0,36300000.0,54.955138854436896,21850000.0,0
DK-IT,14446.718622870001,50259.6030884717,0,1,32.0,54.0,26300000.0,56.596488671462254,16850000.0,1
DK-JM,47514.367907085885,33725.77844636375,0,0,27.0,52.0,2600000.0,50.130379184297794,2400000.0,0
DK-JP,15280.561283237796,49842.6817582878,0,0,36.0,79.0,24300000.0,42.85334130626743,15850000.0,0
DK-KE,53039.78329129274,30963.070754260327,0,0,46.0,25.0,3300000.0,37.93157052265657,5350000.0,0
DK-KR,14456.6660092729,50254.62939527025,0,0,42.0,23.0,18136000.0,52.97575296585657,12768000.0,0
DK-KW,5792.3934428591965,54586.765678477095,0,0,62.0,36.0,393000.0,78.42576570080777,3896500.0,0
DK-LB,41428.59994401749,36768.66242789795,0,0,62.0,36.0,267000.0,61.37707399107011,3833500.0,0
DK-LY,42104.3896362904,36430.767581761495,0,0,62.0,36.0,1394000.0,67.88064784045588,4397000.0,0
DK-MX,37386.8057464728,38789.5595266703,0,0,63.0,53.0,74300000.0,61.34914293795252,40850000.0,0
DK-MY,29243.462316188296,42861.23124181255,0,0,86.0,34.0,21820000.0,70.16115806054303,14610000.0,0
DK-NG,52204.114005206146,31380.905397303624,0,0,59.0,30.0,23420000.0,37.96164262030493,15410000.0,0
DK-NL,343.6660977608044,57654.7954487871,0,0,20.0,2.0,6100000.0,60.17492379035882,6750000.0,1
DK-NO,12325.367010777205,63645.6459052953,0,0,13.0,8.0,300000.0,62.55082397129314,3550000.0,1
DK-NZ,14907.517481947594,50029.2036589329,0,0,4.0,42.0,600000.0,63.34975687030665,3400000.0,0
DK-PA,25698.6479126202,44633.638443596596,0,0,77.0,28.0,1700000.0,54.19275073862606,2850000.0,0
DK-PE,44394.6665614509,35285.62911918125,0,0,46.0,26.0,16300000.0,61.39300098833441,11850000.0,0
DK-PH,48762.35502071274,33101.78488955033,0,0,76.0,48.0,68060000.0,63.59628253324516,37730000.0,0
DK-PK,52629.695842504225,31168.114478654585,0,0,37.0,34.0,33370000.0,39.782138811882376,20385000.0,0
DK-PL,25529.927366199496,44717.99871680695,0,1,50.0,48.0,10300000.0,50.25356415218135,8850000.0,1
DK-PT,22554.418866132095,46205.75296684065,0,0,45.0,15.0,2100000.0,60.30349670468816,4750000.0,1
DK-SA,8747.501901684998,53109.2114490642,0,0,62.0,36.0,20020000.0,64.79248469888208,13710000.0,0
DK-SE,3961.3317570778963,55502.29652136775,0,0,13.0,11.0,2600000.0,62.53052018516163,5000000.0,1
DK-SG,43098.195625085296,79032.06021244935,0,0,56.0,32.0,770000.0,69.30931305041356,4085000.0,0
DK-SL,55788.63592702619,29588.644436393603,0,0,59.0,30.0,3006600.0,35.879370684699936,2196700.0,0
DK-SV,48660.4116254875,33152.75658716295,0,0,48.0,24.0,300000.0,57.658155924575354,3550000.0,0
DK-TH,38952.750611953394,38006.58709393,0,0,46.0,18.0,42300000.0,64.52597505166747,24850000.0,0
DK-TR,29521.982116285697,42721.97134176385,0,0,48.0,29.0,40300000.0,57.41785491399524,23850000.0,0
DK-TZ,54830.57102227815,30067.676888767623,0,0,46.0,25.0,571000.0,35.079193735827225,3985500.0,0
DK-US,5581.456009766109,60273.690404789755,0,0,22.0,46.0,236300000.0,67.54722860025883,121850000.0,0
DK-UY,33894.8110100934,40535.55689486,0,0,43.0,22.0,1300000.0,66.03028446069303,3050000.0,0
DK-ZA,43273.8685665752,35846.0281166191,0,0,31.0,47.0,17580000.0,49.21813349405021,12490000.0,0
DK-ZM,53876.86476793643,30544.530015938482,0,0,46.0,25.0,1447000.0,37.49125357088189,2976500.0,0
EC-AT,45120.7481903343,34399.71733072575,0,0,67.0,16.0,6300000.0,48.008247053684734,6850000.0,0
EC-BE,40688.7753033228,32183.730887219997,0,0,13.0,9.0,3500000.0,55.4572287286706,8250000.0,0
EC-CH,59820.86360433159,41749.775037724394,0,0,44.0,7.0,6300000.0,48.68982911463131,6850000.0,0
EC-DK,45643.6191643481,34661.15281773265,0,0,60.0,47.0,6300000.0,59.30943157137014,6850000.0,0
EC-ES,28857.044445990105,26267.86545855365,0,1,21.0,21.0,13000000.0,52.21911088799719,16500000.0,0
EC-FI,37741.2619597251,30709.97421542115,0,0,45.0,37.0,7300000.0,51.90653804888005,6350000.0,0
EC-IT,31196.9005414781,27437.793506297647,0,0,28.0,7.0,20000000.0,52.494922719288915,20000000.0,0
EC-NL,45987.285262108904,34832.98586661305,0,0,40.0,49.0,200000.0,56.07335783818548,9900000.0,0
EC-NO,57968.986175125305,40823.83632312125,0,0,47.0,55.0,6600000.0,58.44925801911981,6700000.0,0
EC-SE,41682.2874072702,32680.4869391937,0,0,47.0,58.0,3700000.0,58.42895423298829,8150000.0,0
EG-AT,45320.8523360065,34299.66525788965,0,0,69.0,27.0,38700000.0,40.37479335434347,23050000.0,0
EG-BE,40888.879448994994,32083.6788143839,0,0,15.0,2.0,35900000.0,47.82377502932933,24450000.0,0
EG-CH,60020.967750003794,41649.72296488829,0,0,46.0,18.0,38700000.0,41.056375415290034,23050000.0,0
EG-DK,45843.7233100203,34561.10074489655,0,0,62.0,36.0,38700000.0,51.67597787202887,23050000.0,0
EG-FI,37941.366105397305,30609.92214258505,0,0,47.0,26.0,39700000.0,44.273084349538784,22550000.0,0
EG-IT,31397.004687150296,27337.741433461546,0,0,30.0,18.0,12400000.0,44.86146901994765,36200000.0,0
EG-NL,46187.3894077811,34732.93379377695,0,0,42.0,38.0,32600000.0,48.43990413884421,26100000.0,0
EG-NO,58169.090320797506,40723.78425028515,0,0,49.0,44.0,39000000.0,50.815804319778536,22900000.0,0
EG-SE,41882.3915529424,32580.434866357602,0,0,49.0,47.0,36100000.0,50.79550053364702,24350000.0,0
ES-AR,17402.989047784802,31994.8931576563,0,1,8.0,14.0,7000000.0,57.216620618334574,26500000.0,0
ES-AT,16263.703744344195,48828.2395537208,0,0,46.0,37.0,19300000.0,45.01949232248512,13350000.0,1
ES-BE,11831.730857332695,46612.25311021505,0,1,8.0,12.0,16500000.0,52.46847399747099,14750000.0,1
ES-BR,25675.9494576606,27858.4129527184,0,1,12.0,7.0,116000000.0,56.88768351089464,81000000.0,0
ES-CH,30963.81915834149,56178.297260719446,0,1,23.0,28.0,19300000.0,45.70107438343169,13350000.0,1
ES-CL,14982.248256550902,33205.26355327325,0,1,6.0,14.0,10000000.0,58.38106980053458,18000000.0,0
ES-CN,25199.027686711102,28096.87383819315,0,1,23.0,24.0,21670000.0,24.661088546496394,12165000.0,0
ES-CO,25652.332345016403,27870.2215090405,0,1,10.0,22.0,6000000.0,52.76354255553554,26000000.0,0
ES-DE,14538.978623284296,47965.87699319085,0,0,22.0,24.0,8000000.0,43.09316512130047,27000000.0,1
ES-DK,16786.574718357995,49089.6750407277,0,0,39.0,26.0,19300000.0,56.32067684017052,13350000.0,1
ES-EC,28857.044445990105,26267.86545855365,0,1,21.0,21.0,13000000.0,52.21911088799719,16500000.0,0
ES-FI,8884.217513734999,45138.4964384162,0,0,24.0,16.0,20300000.0,48.91778331768044,12850000.0,1
ES-FR,5880.214167389509,43636.49476524346,1,1,11.0,1.0,10000000.0,49.77355463306067,28000000.0,1
ES-GB,6877.100333968992,44134.9378485332,0,1,22.0,24.0,21000000.0,56.73294774981371,33500000.0,1
ES-GH,35253.515534397804,23069.6299143498,0,0,20.0,4.0,18100000.0,32.177968531996434,13950000.0,0
ES-IE,43859.247120191605,62626.011241644504,0,0,29.0,26.0,20300000.0,51.50654234503443,12850000.0,1
ES-IN,34021.02638744087,23685.874487828267,0,0,20.0,14.0,228000000.0,33.537200326245404,137000000.0,0
ES-IT,2339.856095487994,41866.3157292927,0,1,7.0,28.0,7000000.0,49.5061679880893,26500000.0,1
ES-MX,20600.231028114802,30396.2721674913,0,1,24.0,27.0,55000000.0,54.25882225457957,50500000.0,0
ES-NG,35417.53928684815,22987.618038124627,0,0,20.0,4.0,4120000.0,30.87132193693198,25060000.0,0
ES-NL,17130.2408161188,49261.508089608105,0,0,19.0,28.0,13200000.0,53.08460310698587,16400000.0,1
ES-NO,29111.9417291352,55252.3585461163,0,0,26.0,34.0,19600000.0,55.46050328792019,13200000.0,1
ES-PE,27608.0918430929,26892.34176000225,0,1,7.0,0.0,3000000.0,54.302680304961456,21500000.0,0
ES-PH,31975.780302354742,24708.49753037133,0,1,37.0,22.0,48760000.0,56.50596184987221,47380000.0,0
ES-PK,35843.12112414623,22774.827119475587,0,0,2.0,8.0,14070000.0,32.691818128509425,30035000.0,0
ES-PL,8743.3526478415,36324.71135762795,0,0,11.0,22.0,9000000.0,43.163243468808396,18500000.0,1
ES-PT,5767.8441477741,37812.46560766165,1,1,6.0,11.0,17200000.0,53.213176021315206,14400000.0,1
ES-SE,12825.242961280099,47109.009162188755,0,0,26.0,37.0,16700000.0,55.440199501788676,14650000.0,1
ES-US,22368.030728124104,51880.40304561076,0,1,17.0,20.0,217000000.0,60.45690791688588,131500000.0,0
ES-UY,17108.2362917354,32142.269535681,0,1,4.0,4.0,20600000.0,58.93996377732007,12700000.0,0
ET-AT,54806.07054903411,29557.05615137584,0,0,53.0,38.0,2307000.0,22.89039397719518,4853500.0,0
ET-BE,50374.097662022614,27341.06970787009,0,0,1.0,13.0,493000.0,30.33937565218105,6253500.0,0
ET-CH,69506.18596303141,36907.11385837448,0,0,30.0,29.0,2307000.0,23.571976038141756,4853500.0,0
ET-DK,55328.94152304791,29818.49163838274,0,0,46.0,25.0,2307000.0,34.19157849488059,4853500.0,0
ET-FI,47426.58431842492,25867.313036071242,0,0,31.0,15.0,3307000.0,26.788684972390502,4353500.0,0
ET-IT,40882.22290017791,22595.13232694774,0,0,14.0,29.0,23993000.0,27.377069642799363,18003500.0,0
ET-NL,55672.60762080872,29990.324687263143,0,0,26.0,27.0,3793000.0,30.955504761695927,7903500.0,0
ET-NO,67654.30853382513,35981.17514377134,0,0,33.0,33.0,2607000.0,33.33140494263026,4703500.0,0
ET-SE,51367.60976597002,27837.825759843792,0,0,33.0,36.0,293000.0,33.311101156498744,6153500.0,0
FI-AE,18995.510327402808,59078.360358985105,0,0,47.0,26.0,6037000.0,67.6332257593582,5718500.0,0
FI-AR,26287.2065615198,36437.001914523804,0,0,16.0,30.0,27300000.0,56.90404777921744,16350000.0,0
FI-AT,7379.486230609196,53270.3483105883,0,0,22.0,53.0,1000000.0,44.70691948336798,3200000.0,1
FI-AU,588.5820983686062,49874.89624446801,0,0,3.0,35.0,12300000.0,53.072638004896575,8850000.0,0
FI-BE,2947.513343597697,51054.36186708255,0,0,32.0,28.0,3800000.0,52.155901158353856,4600000.0,1
FI-BR,34560.1669713956,32300.5217095859,0,0,36.0,23.0,136300000.0,56.57511067177751,70850000.0,0
FI-CH,22079.60164460649,60620.406017586945,0,0,1.0,44.0,1000000.0,45.388501544314565,3200000.0,1
FI-CL,23866.4657702859,37647.37231014075,0,0,30.0,2.0,10300000.0,58.06849696141745,7850000.0,0
FI-CN,34083.2452004461,32538.98259506065,0,0,47.0,40.0,1370000.0,24.348515707379264,2015000.0,0
FI-CO,34536.5498587514,32312.330265908,0,0,34.0,38.0,26300000.0,52.4509697164184,15850000.0,0
FI-CR,28261.5612022009,35449.82459418325,0,0,2.0,5.0,500000.0,55.17660574175601,2950000.0,0
FI-CZ,8445.1122117181,45358.04908942465,0,0,24.0,31.0,1900000.0,45.72428979584906,3650000.0,1
FI-DE,5654.7611095492975,52407.985750058346,0,0,2.0,40.0,28300000.0,42.78059228218334,16850000.0,1
FI-DK,7902.3572046229965,53531.7837975952,0,0,15.0,10.0,1000000.0,56.00810400105339,3200000.0,1
FI-EC,37741.2619597251,30709.97421542115,0,0,45.0,37.0,7300000.0,51.90653804888005,6350000.0,0
FI-EG,37941.366105397305,30609.92214258505,0,0,47.0,26.0,39700000.0,44.273084349538784,22550000.0,0
FI-ES,8884.217513734999,45138.4964384162,0,0,24.0,16.0,20300000.0,48.91778331768044,12850000.0,1
FI-ET,47426.58431842492,25867.313036071242,0,0,31.0,15.0,3307000.0,26.788684972390502,4353500.0,0
FI-FR,3004.0033463454893,48078.603522110956,0,0,35.0,17.0,30300000.0,49.46098179394353,17850000.0,1
FI-GB,2007.1171797660063,48577.0466054007,0,0,2.0,40.0,41300000.0,56.42037491069658,23350000.0,1
FI-GH,44137.7330481328,27511.7386712173,0,0,44.0,20.0,2200000.0,31.865395692879304,3800000.0,0
FI-GR,19963.0568553105,39599.07676762845,0,0,27.0,31.0,2300000.0,48.53530820246627,3850000.0,1
FI-GT,40915.25793431069,29122.976228128355,0,0,62.0,11.0,4100000.0,42.597874636854485,4750000.0,0
FI-HU,17667.5305400361,40746.83992526565,0,0,13.0,62.0,2600000.0,51.88878629061496,4000000.0,1
FI-ID,37935.8466562484,30612.6818671595,0,0,45.0,20.0,134260000.0,48.83558083826753,69830000.0,0
FI-IE,34975.02960645661,67068.119998512,0,0,5.0,42.0,0.0,51.1939695059173,2700000.0,1
FI-IL,9674.4805109449,44743.36493981125,0,0,20.0,21.0,3177000.0,57.23475324690071,4288500.0,0
FI-IN,42905.24390117587,28127.983244695766,0,0,44.0,30.0,248300000.0,33.224627487128274,126850000.0,0
FI-IQ,38771.1327851424,30195.0388027125,0,0,47.0,26.0,18576000.0,49.53208189128409,11988000.0,0
FI-IR,35785.287727965304,31687.96133130105,0,0,25.0,17.0,37300000.0,47.55224533194682,21350000.0,0
FI-IT,6544.361418247005,46308.4244861602,0,0,17.0,44.0,27300000.0,49.193595148972165,16350000.0,1
FI-JM,39612.01070246289,29774.599844052256,0,0,12.0,42.0,1600000.0,42.72748566180771,1900000.0,0
FI-JP,7378.204078614799,45891.5031559763,0,0,21.0,69.0,25300000.0,35.45044778377735,15350000.0,0
FI-KE,45137.426086669744,27011.89215194883,0,0,31.0,15.0,4300000.0,30.528677000166486,4850000.0,0
FI-KR,6554.308804649903,46303.45079295875,0,0,27.0,13.0,19136000.0,45.57285944336649,12268000.0,0
FI-KW,2109.9637617638,50635.5870761656,0,0,47.0,26.0,1393000.0,71.0228721783177,3396500.0,0
FI-LB,33526.242739394496,32817.48382558645,0,0,47.0,26.0,1267000.0,53.97418046858003,3333500.0,0
FI-LY,34202.0324316674,32479.58897945,0,0,47.0,26.0,2394000.0,60.477754317965804,3897000.0,0
FI-MX,29484.4485418498,34838.380924358804,0,0,48.0,43.0,75300000.0,53.94624941546244,40350000.0,0
FI-MY,21341.1051115653,38910.05263950105,0,0,71.0,24.0,22820000.0,62.75826453805295,14110000.0,0
FI-NG,44301.75680058315,27429.726794992126,0,0,44.0,20.0,24420000.0,30.55874909781485,14910000.0,0
FI-NL,8246.023302383801,53703.616846475605,0,0,5.0,12.0,7100000.0,52.77203026786873,6250000.0,1
FI-NO,20227.7242154002,59694.4673029838,1,1,2.0,18.0,700000.0,55.147930448803066,3050000.0,1
FI-NZ,7005.160277324598,46078.0250566214,0,0,11.0,32.0,400000.0,55.94686334781656,2900000.0,0
FI-PA,17796.290707997203,40682.4598412851,0,0,62.0,18.0,700000.0,46.78985721613597,2350000.0,0
FI-PE,36492.3093568279,31334.45051686975,0,0,31.0,16.0,17300000.0,53.990107465844325,11350000.0,0
FI-PH,40859.997816089744,29150.60628723883,0,0,61.0,38.0,69060000.0,56.19338901075508,37230000.0,0
FI-PK,44727.33863788123,27216.935876343086,0,0,22.0,24.0,34370000.0,32.379245289392294,19885000.0,0
FI-PL,17627.5701615765,40766.82011449545,0,0,35.0,38.0,11300000.0,42.850670629691265,8350000.0,1
FI-PT,14652.061661509098,42254.57436452915,0,0,30.0,5.0,3100000.0,52.90060318219808,4250000.0,1
FI-SA,845.1446970620018,49158.0328467527,0,0,47.0,26.0,21020000.0,57.389591176391995,13210000.0,0
FI-SE,3941.0254475451,51551.117919056254,1,1,2.0,21.0,3600000.0,55.127626662671545,4500000.0,1
FI-SG,51000.55282970829,75080.88161013785,0,0,41.0,22.0,1770000.0,61.90641952792348,3585000.0,0
FI-SL,47886.27872240319,25637.465834082104,0,0,44.0,20.0,2006600.0,28.47647716220985,1696700.0,0
FI-SV,40758.0544208645,29201.57798485145,0,0,33.0,14.0,700000.0,50.25526240208528,3050000.0,0
FI-TH,31050.3934073304,34055.4084916185,0,0,31.0,8.0,43300000.0,57.12308152917739,24350000.0,0
FI-TR,21619.6249116627,38770.79273945235,0,0,33.0,19.0,41300000.0,50.01496139150517,23350000.0,0
FI-TZ,46928.21381765515,26116.498286456124,0,0,31.0,15.0,1571000.0,27.676300213337143,3485500.0,0
FI-US,13483.813214389105,56322.51180247826,0,0,7.0,36.0,237300000.0,60.14433507776875,121350000.0,0
FI-UY,25992.4538054704,36584.3782925485,0,0,28.0,12.0,300000.0,58.627390938202936,2550000.0,0
FI-ZA,35371.5113619522,31894.8495143076,0,0,16.0,37.0,18580000.0,41.81523997156013,11990000.0,0
FI-ZM,45974.50756331343,26593.351413626984,0,0,31.0,15.0,447000.0,30.088360048391806,2476500.0,0
FR-AT,10383.489576954686,51768.346637415554,0,0,57.0,36.0,29300000.0,45.562690798748214,18350000.0,1
FR-BE,5951.516689943186,49552.3601939098,1,1,3.0,11.0,26500000.0,53.01167247373408,19750000.0,1
FR-CH,25083.60499095198,59118.4043444142,1,1,34.0,27.0,29300000.0,46.24427285969479,18350000.0,1
FR-CZ,5441.108865372611,43856.04741625191,0,0,11.0,14.0,28400000.0,46.580061111229284,18800000.0,1
FR-DE,8658.764455894787,50905.98407688561,1,0,33.0,23.0,2000000.0,43.63636359756357,32000000.0,1
FR-DK,10906.360550968486,52029.782124422454,0,0,50.0,27.0,29300000.0,56.86387531643362,18350000.0,1
FR-ES,5880.214167389509,43636.49476524346,1,1,11.0,1.0,10000000.0,49.77355463306067,28000000.0,1
FR-FI,3004.0033463454893,48078.603522110956,0,0,35.0,17.0,30300000.0,49.46098179394353,17850000.0,1
FR-GB,996.886166579483,47075.04493222795,0,1,33.0,23.0,11000000.0,57.276146226076804,38500000.0,1
FR-GR,16959.05350896501,38097.07509445571,0,0,8.0,14.0,28000000.0,49.39107951784649,19000000.0,1
FR-HU,14663.52719369061,39244.83825209291,0,0,22.0,45.0,27700000.0,52.74455760599518,19150000.0,1
FR-IE,37979.032952802096,65566.11832533925,0,0,40.0,25.0,30300000.0,52.04974082129753,17850000.0,1
FR-IT,3540.3580719015154,44806.422812987454,1,1,18.0,27.0,3000000.0,50.049366464352396,31500000.0,1
FR-NL,11250.02664872929,52201.61517330285,0,0,30.0,29.0,23200000.0,53.62780158324896,21400000.0,1
FR-NO,23231.72756174569,58192.46562981106,0,0,37.0,35.0,29600000.0,56.00370176418329,18200000.0,1
FR-PL,14623.56681523101,39264.818441322706,0,0,0.0,21.0,19000000.0,43.70644194507149,23500000.0,1
FR-PT,11648.05831516361,40752.57269135641,0,0,5.0,12.0,27200000.0,53.75637449757831,19400000.0,1
FR-SE,6945.028793890589,50049.1162458835,0,0,37.0,38.0,26700000.0,55.98339797805177,19650000.0,1
GB-AE,21002.627507168814,58074.8017691021,0,0,45.0,14.0,35263000.0,75.44839019149148,26368500.0,0
GB-AT,9386.603410375203,52266.789720705296,0,0,24.0,13.0,40300000.0,52.522083915501256,23850000.0,1
GB-AU,2595.6992781346125,48871.337654585004,0,1,1.0,5.0,29000000.0,60.88780243702985,29500000.0,0
GB-BE,4954.630523363703,50050.80327719955,0,1,30.0,12.0,37500000.0,59.97106559048713,25250000.0,1
