from_to,gdp_diff_2018,gdp_mean_2018,neighbors,share_lang,PDI_diff,MAS_diff,fb_users_diff,fb_users_perc_mean,fb_users_mean,share_cont
AT-KW,5269.522468845396,54325.3301914702,0,0,69.0,27.0,393000.0,67.12458118312237,3896500.0,0
AT-LB,40905.72897000369,36507.22694089105,0,0,69.0,27.0,267000.0,50.075889473384706,3833500.0,0
AT-LY,41581.5186622766,36169.3320947546,0,0,69.0,27.0,1394000.0,56.57946332277048,4397000.0,0
AT-MX,36863.934772459,38528.124039663395,0,0,70.0,10.0,74300000.0,50.04795842026712,40850000.0,0
AT-MY,28720.591342174495,42599.79575480565,0,0,93.0,29.0,21820000.0,58.85997354285763,14610000.0,0
AT-NG,51681.243031192345,31119.469910296724,0,0,66.0,33.0,23420000.0,26.66045810261953,15410000.0,0
AT-NL,866.5370717746046,57393.359961780196,0,0,27.0,65.0,6100000.0,48.87373927267341,6750000.0,1
AT-NO,12848.237984791005,63384.2104182884,0,1,20.0,71.0,300000.0,51.24963945360774,3550000.0,1
AT-NZ,14384.646507933794,49767.768171926,0,0,11.0,21.0,600000.0,52.04857235262124,3400000.0,0
AT-PA,25175.7769386064,44372.202956589696,0,0,84.0,35.0,1700000.0,42.89156622094065,2850000.0,0
AT-PE,43871.7955874371,35024.19363217435,0,0,53.0,37.0,16300000.0,50.09181647064901,11850000.0,0
AT-PH,48239.48404669894,32840.34940254343,0,0,83.0,15.0,68060000.0,52.29509801555976,37730000.0,0
AT-PK,52106.824868490425,30906.678991647685,0,0,44.0,29.0,33370000.0,28.48095429419697,20385000.0,0
AT-PL,25007.056392185696,44456.56322980005,0,1,57.0,15.0,10300000.0,38.95237963449594,8850000.0,1
AT-PT,22031.547892118295,45944.31747983375,0,0,52.0,48.0,2100000.0,49.00231218700276,4750000.0,1
AT-SA,8224.630927671198,52847.7759620573,0,0,69.0,27.0,20020000.0,53.49130018119668,13710000.0,0
AT-SE,3438.460783064096,55240.861034360845,0,1,20.0,74.0,2600000.0,51.22933566747622,5000000.0,1
AT-SG,43621.0665990991,78770.62472544244,0,0,63.0,31.0,770000.0,58.008128532728165,4085000.0,0
AT-SL,55265.76495301239,29327.208949386702,0,0,66.0,33.0,3006600.0,24.57818616701453,2196700.0,0
AT-SV,48137.5406514737,32891.32110015605,0,0,55.0,39.0,300000.0,46.356971406889954,3550000.0,0
AT-TH,38429.87963793959,37745.1516069231,0,0,53.0,45.0,42300000.0,53.22479053398207,24850000.0,0
AT-TR,28999.111142271897,42460.53585475695,0,0,55.0,34.0,40300000.0,46.11667039630984,23850000.0,0
AT-TZ,54307.70004826435,29806.241401760723,0,0,53.0,38.0,571000.0,23.778009218141822,3985500.0,0
AT-US,6104.326983779909,60012.25491778285,0,0,29.0,17.0,236300000.0,56.246044082573434,121850000.0,0
AT-UY,33371.9400360796,40274.1214078531,0,0,50.0,41.0,1300000.0,54.72909994300761,3050000.0,0
AT-ZA,42750.9975925614,35584.5926296122,0,0,38.0,16.0,17580000.0,37.91694897636481,12490000.0,0
AT-ZM,53353.99379392263,30283.094528931582,0,0,53.0,38.0,1447000.0,26.190069053196485,2976500.0,0
AU-AT,6790.90413224059,53564.6393597726,0,0,25.0,18.0,11300000.0,49.17434700970125,9350000.0,0
AU-BE,2358.9312452290906,51348.65291626685,0,0,29.0,7.0,8500000.0,56.623328684687124,10750000.0,0
AU-CH,21491.019546237883,60914.697066771245,0,0,2.0,9.0,11300000.0,49.85592907064783,9350000.0,0
AU-DK,7313.77510625439,53826.074846779506,0,0,18.0,45.0,11300000.0,60.47553152738666,9350000.0,0
AU-FI,588.5820983686062,49874.89624446801,0,0,3.0,35.0,12300000.0,53.072638004896575,8850000.0,0
AU-GB,2595.6992781346125,48871.337654585004,0,1,1.0,5.0,29000000.0,60.88780243702985,29500000.0,0
AU-IT,7132.943516615611,46602.7155353445,0,0,14.0,9.0,15000000.0,53.66102267530543,22500000.0,0
AU-NL,7657.441204015195,53997.907895659904,0,1,2.0,47.0,5200000.0,57.239457794201996,12400000.0,0
AU-NO,19639.142117031595,59988.75835216811,0,0,5.0,53.0,11600000.0,59.615357975136334,9200000.0,0
AU-SE,3352.443349176494,51845.408968240554,0,1,5.0,56.0,8700000.0,59.59505418900481,10650000.0,0
BE-AE,16047.996983805111,60552.11703078395,0,0,15.0,2.0,2237000.0,71.18391643914876,7618500.0,0
BE-AR,29234.719905117498,37910.75858632265,0,0,16.0,2.0,23500000.0,60.45473845900799,18250000.0,0
BE-AT,4431.9728870115,54744.10498238714,0,1,54.0,25.0,2800000.0,48.25761016315853,5100000.0,1
BE-AU,2358.9312452290906,51348.65291626685,0,0,29.0,7.0,8500000.0,56.623328684687124,10750000.0,0
BE-BR,37507.6803149933,33774.27838138475,0,1,4.0,5.0,132500000.0,60.12580135156806,72750000.0,0
BE-CH,19132.088301008793,62094.16268938579,0,1,31.0,16.0,2800000.0,48.93919222410511,5100000.0,1
BE-CL,26813.979113883597,39121.1289819396,0,0,2.0,26.0,6500000.0,61.619187641208,9750000.0,0
BE-CN,37030.7585440438,34012.7392668595,0,0,15.0,12.0,5170000.0,27.899206387169812,3915000.0,0
BE-CO,37484.0632023491,33786.086937706845,0,0,2.0,10.0,22500000.0,56.00166039620895,17750000.0,0
BE-CR,31209.074545798598,36923.581265982095,0,0,30.0,33.0,3300000.0,58.72729642154656,4850000.0,0
BE-CZ,11392.625555315797,46831.8057612235,0,1,8.0,3.0,1900000.0,49.27498047563961,5550000.0,1
BE-DE,2707.2477659516007,53881.7424218572,1,1,30.0,12.0,24500000.0,46.33128296197389,18750000.0,1
BE-DK,4954.8438610253,55005.54046939405,0,1,47.0,38.0,2800000.0,59.55879468084394,5100000.0,1
BE-EC,40688.7753033228,32183.730887219997,0,0,13.0,9.0,3500000.0,55.4572287286706,8250000.0,0
BE-EG,40888.879448994994,32083.6788143839,0,0,15.0,2.0,35900000.0,47.82377502932933,24450000.0,0
BE-ES,11831.730857332695,46612.25311021505,0,1,8.0,12.0,16500000.0,52.46847399747099,14750000.0,1
BE-ET,50374.097662022614,27341.06970787009,0,0,1.0,13.0,493000.0,30.33937565218105,6253500.0,0
BE-FI,2947.513343597697,51054.36186708255,0,0,32.0,28.0,3800000.0,52.155901158353856,4600000.0,1
BE-FR,5951.516689943186,49552.3601939098,1,1,3.0,11.0,26500000.0,53.01167247373408,19750000.0,1
