from_to,geodesic_distance_km,gdp_diff_2018,ESTAT_flow_BMI_2019_T_T_res,gdp_mean_2018,neighbors,share_rel,share_lang,PDI_diff,IDV_diff,UAI_diff,MAS_diff,fb_users_diff,fb_users_perc_diff,fb_users_perc_mean,fb_users_mean,area_diff,area_mean,share_cont
AT-NG,4296.338866511735,51681.243031192345,0.004609105366745863,31119.469910296724,0,0,0,66.0,35.0,16.0,33.0,23420000.0,28.296340771106273,26.66045810261953,15410000.0,828250.0,496645.0,0
AT-NL,840.0538822961109,866.5370717746046,0.1265196122931125,57393.359961780196,0,1,0,27.0,25.0,17.0,65.0,6100000.0,16.130221569001492,48.87373927267341,6750000.0,48850.0,58095.0,1
AT-NO,1494.607719992361,12848.237984791005,0.05826094519962066,63384.2104182884,0,1,1,20.0,14.0,20.0,71.0,300000.0,20.882021930870152,51.24963945360774,3550000.0,282587.85,223813.925,1
AT-NZ,18289.18767395273,14384.646507933794,0.01981928577894655,49767.768171926,0,1,0,11.0,24.0,21.0,21.0,600000.0,22.479887728897154,52.04857235262124,3400000.0,180790.0,172915.0,0
AT-PA,9713.303419889224,25175.7769386064,0.002538415523235924,44372.202956589696,0,1,0,84.0,44.0,16.0,35.0,1700000.0,4.165875465535976,42.89156622094065,2850000.0,8343.0,78348.5,0
AT-PE,10723.847884615823,43871.7955874371,0.004021436674018157,35024.19363217435,0,1,0,53.0,39.0,17.0,37.0,16300000.0,18.566375964952677,50.09181647064901,11850000.0,1197480.0,681260.0,0
AT-PH,10214.549974002974,48239.48404669894,0.004705566657649297,32840.34940254343,0,1,0,83.0,23.0,26.0,15.0,68060000.0,22.97293905477418,52.29509801555976,37730000.0,215650.0,190345.0,0
AT-PK,4997.46799629498,52106.824868490425,0.0035071472168487737,30906.678991647685,0,0,0,44.0,41.0,0.0,29.0,33370000.0,24.65534838795139,28.48095429419697,20385000.0,688360.0,426700.0,0
AT-PL,591.0477861975234,25007.056392185696,0.1889161665524724,44456.56322980005,0,1,1,57.0,5.0,23.0,15.0,10300000.0,3.7124977073534424,38.95237963449594,8850000.0,223650.0,194345.0,1
AT-PT,2041.6220009632627,22031.547892118295,0.07919749082442422,45944.31747983375,0,1,0,52.0,28.0,34.0,48.0,2100000.0,16.387367397660185,49.00231218700276,4750000.0,9085.600000000006,87062.8,1
AT-SA,3763.885327655239,8224.630927671198,0.004282898229833696,52847.7759620573,0,0,0,69.0,17.0,2.0,27.0,20020000.0,25.365343386048018,53.49130018119668,13710000.0,2067170.0,1116105.0,0
AT-SE,1428.6735218969636,3438.460783064096,0.07028817601960305,55240.861034360845,0,1,1,20.0,16.0,41.0,74.0,2600000.0,20.841414358607118,51.22933566747622,5000000.0,324790.0,244915.0,1
AT-SG,9844.569227827493,43621.0665990991,0.01861258851179732,78770.62472544244,0,0,0,63.0,35.0,62.0,31.0,770000.0,34.39900008911099,58.008128532728165,4085000.0,81811.0,41614.5,0
AT-SL,4993.058461749141,55265.76495301239,0.003533336122383345,29327.208949386702,0,0,0,66.0,35.0,16.0,33.0,3006600.0,32.46088464231627,24.57818616701453,2196700.0,10340.0,77350.0,0
AT-SV,9871.065884850585,48137.5406514737,0.0013786347588054775,32891.32110015605,0,1,0,55.0,36.0,24.0,39.0,300000.0,11.096685837434578,46.356971406889954,3550000.0,61800.0,51620.0,0
AT-TH,8460.470360492463,38429.87963793959,0.0075063582626027575,37745.1516069231,0,0,0,53.0,35.0,6.0,45.0,42300000.0,24.83232409161881,53.22479053398207,24850000.0,428370.0,296705.0,0
AT-TR,1922.001529983234,28999.111142271897,0.06892384672898617,42460.53585475695,0,0,0,55.0,18.0,15.0,34.0,40300000.0,10.616083816274354,46.11667039630984,23850000.0,687110.0,426075.0,0
AT-TZ,6295.290448952452,54307.70004826435,0.0006776667286329782,29806.241401760723,0,1,0,53.0,28.0,18.0,38.0,571000.0,34.06123854006169,23.778009218141822,3985500.0,803280.0,484160.0,0
AT-US,8364.871946319663,6104.326983779909,0.007410742661466046,60012.25491778285,0,1,0,29.0,36.0,24.0,17.0,236300000.0,30.87483118880153,56.246044082573434,121850000.0,9064900.0,4614970.0,0
AT-UY,11299.836060826245,33371.9400360796,0.00484333128718718,40274.1214078531,0,1,0,50.0,19.0,30.0,41.0,1300000.0,27.8409429096699,54.72909994300761,3050000.0,92500.0,128770.0,0
AT-ZA,8687.543432065897,42750.9975925614,0.005499559451676624,35584.5926296122,0,1,0,38.0,10.0,21.0,16.0,17580000.0,5.783359023615716,37.91694897636481,12490000.0,1130570.0,647805.0,0
AT-ZM,6846.279039310346,53353.99379392263,0.00023190768942728303,30283.094528931582,0,1,0,53.0,28.0,18.0,38.0,1447000.0,29.23711886995236,26.190069053196485,2976500.0,660870.0,412955.0,0
AU-AT,14207.33916169978,6790.90413224059,0.01706088845564957,53564.6393597726,0,1,0,25.0,35.0,19.0,18.0,11300000.0,16.731437043057177,49.17434700970125,9350000.0,7609500.0,3887270.0,0
AU-BE,14888.404895343352,2358.9312452290906,0.028530140992947196,51348.65291626685,0,1,0,29.0,15.0,43.0,7.0,8500000.0,1.8334736930854376,56.623328684687124,10750000.0,7661740.0,3861150.0,0
AU-CH,14691.576853075692,21491.019546237883,0.10756670869577424,60914.697066771245,0,1,0,2.0,22.0,7.0,9.0,11300000.0,15.368272921164028,49.85592907064783,9350000.0,7652503.97,3865768.015,0
AU-DK,14407.21510098697,7313.77510625439,0.1272483868931541,53826.074846779506,0,1,0,18.0,16.0,28.0,45.0,11300000.0,5.870931992313629,60.47553152738666,9350000.0,7652020.0,3866010.0,0
AU-FI,13393.151438972178,588.5820983686062,0.040529600869104204,49874.89624446801,0,1,0,3.0,27.0,8.0,35.0,12300000.0,8.934855052666535,53.072638004896575,8850000.0,7388100.0,3997970.0,0
