from_to,ESTAT_flow_BMI_2019_T_T_res
BR-DK,0.0007109950033047356
BR-ES,0.002429545237020967
BR-FI,0.0001969193594529723
BR-IT,0.002978791184107969
BR-NL,0.0009600255627999761
BR-NO,0.0006065625897038435
BR-SE,0.0005632953576337232
CH-AE,0.01584554544419569
CH-AR,0.0023121787992712865
CH-AT,0.07887014391757644
CH-AU,0.010756670869577423
CH-BE,0.025847451241596063
CH-BR,0.0017596921471919988
CH-CL,0.0037572086668919403
CH-CN,0.000495293380280386
CH-CO,0.0021810638026400053
CH-CR,0.007407279657501513
CH-CZ,0.018571938045690427
CH-DE,0.052764470659807175
CH-DK,0.021689081193439236
CH-EC,0.002823542751469917
CH-EG,0.0008643321339927504
CH-ES,0.02601638331936859
CH-ET,0.0002954603648337452
CH-FI,0.015970982314406367
CH-FR,0.05017760203895553
CH-GB,0.01955157982956719
CH-GH,0.0007875614503972807
CH-GR,0.0222945790938415
CH-GT,0.00047231651215345986
CH-HU,0.0424891975403995
CH-ID,0.00033122685428140614
CH-IE,0.0251286194578859
CH-IL,0.009692834009943056
CH-IN,0.00029894326039130143
CH-IQ,0.0006134123324319312
CH-IR,0.0007836473975314919
CH-IT,0.04346854811514362
CH-JM,0.0019995125674094794
CH-JP,0.001682100616889011
CH-KE,0.0010929929346969408
CH-KR,0.002316515827138522
CH-KW,0.0015229315915013958
CH-LB,0.012045055629042657
CH-LY,0.0013962804078358662
CH-MX,0.001338799242865535
CH-MY,0.001774146773215986
CH-NG,0.00018682505099657155
CH-NL,0.02244902116207393
CH-NO,0.01614424785004762
CH-NZ,0.015912903267171735
CH-PA,0.007263692356068151
CH-PE,0.002022127883247308
CH-PH,0.001343962793351721
CH-PK,0.00022336967992491445
CH-PL,0.017851214463276102
CH-PT,0.18272649504139493
CH-SA,0.0015345546138358895
CH-SE,0.022845809492804715
CH-SG,0.032470352316398735
CH-SL,0.0004226866243093366
CH-SV,0.0009290695480316286
CH-TH,0.004928312363828474
CH-TR,0.0048067290746166775
CH-TZ,0.00021447476525884594
CH-US,0.003914704040582712
CH-UY,0.0051218870004301744
CH-ZA,0.001980226872497311
CH-ZM,0.00037868783318429825
CL-AT,0.0011669285673861446
CL-BE,0.0016642407857361274
CL-CH,0.0037572086668919403
CL-DK,0.005162470579399654
CL-ES,0.010840602596108988
CL-FI,0.0006590032946923276
CL-IT,0.0005010931039931178
CL-NL,0.0015870868469137541
CL-NO,0.001462428457980729
CL-SE,0.0025389338377733526
CN-AT,0.00016272223416522624
CN-BE,0.00018658479835874454
CN-CH,0.000495293380280386
CN-DK,0.0003864473612169941
CN-ES,0.00029717450786066274
CN-FI,0.00017591386686710358
CN-GB,0.0011442208248660037
CN-IT,0.00016880814233112697
CN-NL,0.000377505937810733
CN-NO,0.00011700282007491733
CN-SE,0.0002693997080027783
CO-AT,0.0006639786587269401
CO-BE,0.0014150013985223576
CO-CH,0.0021810638026400053
CO-DK,0.0005483349415362876
CO-ES,0.03780536950202464
CO-FI,0.00022164114856863617
CO-IT,0.0007551953252150171
CO-NL,0.0012434682121912149
CO-NO,0.0006485204413568744
CO-SE,0.000751444416892933
CR-AT,0.0010455396091155161
CR-BE,0.0010106700698962556
CR-CH,0.007407279657501513
CR-DK,0.002592295085954924
CR-FI,0.00041964190443636033
CR-IT,0.0008548630468335001
CR-NL,0.0028248497190159344
CR-NO,0.0013037488210035056
CR-SE,0.0009431036835622461
CZ-AT,0.022195327318763298
CZ-BE,0.00777055637238566
CZ-CH,0.018571938045690427
