date,model,r2_tr,mse_tr,rmse_tr,mae_tr,r2_ts,mse_ts,rmse_ts,mae_ts
2022-12-08 19:50:39.281436,RF,0.5758999832872569,0.0001419803868978,0.0119155523119086,0.0040925335093071,0.6256621627703807,7.03004197793648e-05,0.0083845345594949,0.0040608567253275
2022-12-08 19:50:39.452576,SVM,0.9967763914485864,1.0792010641368426e-06,0.0010388460252303,0.0009987544244934,0.8831975461788522,2.193543029381176e-05,0.0046835275481,0.0019893418465821
2022-12-08 19:50:41.214512,MLP,0.5570892076475892,0.0001482778664967,0.0121769399479834,0.0061828786376802,0.5588661453204712,8.2844671520174e-05,0.0091019048292197,0.0059527405209089
2022-12-08 19:50:42.222334,XGB,0.9972856869433936,9.086988982597522e-07,0.0009532569948653,0.0005682555236091,0.9119943220584816,1.6527413173200822e-05,0.0040653921303117,0.0015435725505282
2022-12-08 19:52:05.627921,RF,0.5750053833871005,9.32506439753454e-05,0.0096566373016358,0.0033704142650174,0.3811248921071836,0.0003964300145016,0.0199105503314605,0.0061840127507812
2022-12-08 19:52:11.416674,SVM,0.9950367368783276,1.0890196351277468e-06,0.0010435610356504,0.0009949602761823,0.646898858719218,0.000226184392898,0.0150394279445095,0.0034423872504046
2022-12-08 19:52:17.750259,MLP,0.6163980095152048,8.416843706872908e-05,0.0091743357835174,0.0050348810048345,0.469655239407178,0.0003397205323841,0.0184315092269784,0.0076615208247456
2022-12-08 19:52:23.788273,XGB,0.9960092915800712,8.756255150759839e-07,0.000935748638832,0.0005351936407269,0.8182538714074086,0.0001164202913878,0.0107898235105056,0.00284319758321
2022-12-08 19:54:17.525618,RF,0.6114221270880666,0.0001030257045746,0.0101501578595907,0.0038546358222062,0.3285574980786453,0.00031265607931,0.0176820835681209,0.0050587018147661
2022-12-08 19:54:33.362721,SVM,0.995921937634396,1.0812382222566415e-06,0.0010398260538458,0.0009891022497947,0.3864391775764243,0.0002857035719488,0.0169027681741429,0.003577576128577
2022-12-08 19:54:39.110462,MLP,0.6337354707157276,9.710964988156348e-05,0.0098544228588773,0.006058508952779,0.1342673382569637,0.0004031269676504,0.0200780220054284,0.0086489758938721
2022-12-08 19:54:44.212448,XGB,0.99637194097535,9.619264587861748e-07,0.0009807784962906,0.000604628369479,0.4425536506869606,0.0002595739612895,0.0161112991806854,0.0028068630813148
2022-12-08 19:55:57.192458,RF,0.5581639817868939,0.0001265986723464,0.0112516075449878,0.0038608551572427,0.3865413142538652,0.0002335653994123,0.0152828465742604,0.0049850977610875
2022-12-08 19:56:09.094254,SVM,0.9961270977035418,1.109697418607792e-06,0.0010534217667239,0.0010123268774237,0.9209087146877598,3.011284716186536e-05,0.005487517395131,0.0024514235460361
2022-12-08 19:56:21.478057,MLP,0.7014937355049822,8.553059328434692e-05,0.0092482751518511,0.0047943681288504,0.3840509540507535,0.0002345135675434,0.0153138358207015,0.0067511413580333
2022-12-08 19:56:31.381899,XGB,0.997773105082798,6.380691667305305e-07,0.0007987923176461,0.0004753415382181,0.9739740534040028,9.908997546242228e-06,0.0031478560237473,0.0013426258846928
2022-12-08 19:57:30.493121,RF,0.5600331923002071,0.0001436511161562,0.0119854543575205,0.0040808770287603,0.6346003339188575,8.090484426544279e-05,0.0089947120168153,0.0040299396403407
2022-12-08 19:57:41.079231,SVM,0.996729313412865,1.0678936924707142e-06,0.0010333894195658,0.0009825938536118,0.6201541005624565,8.410345216910278e-05,0.0091707934318194,0.0028938452346272
2022-12-08 19:57:49.250943,MLP,0.5959818373873668,0.0001319137239241,0.01148536999509,0.0058094877100749,0.6248679431780542,8.305973829055192e-05,0.0091137115540569,0.005583571710449
2022-12-08 19:57:55.602584,XGB,0.9975000802233188,8.162349066711213e-07,0.0009034571969225,0.0005371538601673,0.9162849968156584,1.8535729295948984e-05,0.004305314076342,0.0017533788990109
2022-12-13 19:18:32.927024,SVM,0.6735494388935443,0.0001160767546011,0.0107738922679393,0.0024087234254394,0.5933975961069256,4.0676093251455536e-05,0.0063777812169637,0.0021747697099812
2022-12-13 19:26:19.075242,RF,0.5788797050419624,0.0001363225731281,0.0116757258073388,0.0041018610796951,0.5461725397467683,0.0001052910162901,0.0102611410812921,0.0042474461915203
2022-12-13 19:26:58.486295,SVM,0.6400202932175457,0.0001165305032553,0.0107949295159976,0.0022748335278539,0.5988423513709404,9.30712665407338e-05,0.009647345051398,0.0028954263818158
2022-12-13 19:27:24.936669,MLP,0.5464526663666629,0.0001468196624493,0.0121169163754379,0.0060759545911419,0.4929619795552162,0.000117636223336,0.0108460233881397,0.0062592495905248
2022-12-13 19:28:06.612871,XGB,0.9973455575589243,8.592804196817241e-07,0.000926973796653241,0.0005455959161018243,0.9769324448775268,5.351827588440123e-06,0.0023134017352029724,0.0012124984651153109
